title,link,description,date,source
Couple pleads guilty to laundering money for India-based phone scammers - newsindiatimes.com,https://www.newsindiatimes.com/couple-pleads-guilty-to-laundering-money-for-india-based-phone-scammers/," href=""https://www.newsindiatimes.com/couple-pleads-guilty-to-laundering-money-for-india-based-phone-scammers/"" target=""_blank"">Couple pleads guilty to laundering money for India-based phone scammers</a>&nbsp;&nbsp;<font color=""#6f6f6f"">newsindiatimes.com</font",2020-10-08 07:00:00+00:00,newsindiatimes.com
Leonardo CEO found guilty of fraud in previous job - DefenseNews.com,https://www.defensenews.com/industry/2020/10/15/leonardo-ceo-found-guilty-of-fraud-in-previous-job/," href=""https://www.defensenews.com/industry/2020/10/15/leonardo-ceo-found-guilty-of-fraud-in-previous-job/"" target=""_blank"">Leonardo CEO found guilty of fraud in previous job</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DefenseNews.com</font",2020-10-15 07:00:00+00:00,DefenseNews.com
"Romanian national convicted for ATM fraud, handed 7-year jail term - The Indian Express",https://indianexpress.com/article/india/romanian-national-convicted-for-atm-fraud-handed-7-year-jail-term-6856406/," href=""https://indianexpress.com/article/india/romanian-national-convicted-for-atm-fraud-handed-7-year-jail-term-6856406/"" target=""_blank"">Romanian national convicted for ATM fraud, handed 7-year jail term</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Indian Express</font",2020-10-23 19:54:04+00:00,The Indian Express
"Indian-American Couple Pleads Guilty to Laundering Over $5,00,000 in US - News18",https://www.news18.com/news/india/indian-american-couple-pleads-guilty-to-laundering-over-500000-in-us-2941639.html," href=""https://www.news18.com/news/india/indian-american-couple-pleads-guilty-to-laundering-over-500000-in-us-2941639.html"" target=""_blank"">Indian-American Couple Pleads Guilty to Laundering Over $5,00,000 in US</a>&nbsp;&nbsp;<font color=""#6f6f6f"">News18</font",2020-10-07 07:00:00+00:00,News18
Vero Beach man pleads guilty to over $40 million in fraud; could face many years in prison - TCPalm,https://www.tcpalm.com/story/news/crime/indian-river-county/2020/10/21/vero-beach-man-pleads-guilty-fraudulently-taking-40-million-3-years/3716654001/," href=""https://www.tcpalm.com/story/news/crime/indian-river-county/2020/10/21/vero-beach-man-pleads-guilty-fraudulently-taking-40-million-3-years/3716654001/"" target=""_blank"">Vero Beach man pleads guilty to over $40 million in fraud; could face many years in prison</a>&nbsp;&nbsp;<font color=""#6f6f6f"">TCPalm</font",2020-10-21 20:46:47+00:00,TCPalm
Husband sentenced to more than 15 years for mistreating workers from India - newsindiatimes.com,https://www.newsindiatimes.com/husband-sentenced-to-more-than-15-years-for-mistreating-workers-from-india/," href=""https://www.newsindiatimes.com/husband-sentenced-to-more-than-15-years-for-mistreating-workers-from-india/"" target=""_blank"">Husband sentenced to more than 15 years for mistreating workers from India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">newsindiatimes.com</font",2020-10-23 14:11:00+00:00,newsindiatimes.com
Has India’s Obsession With Godmen Allowed Rapists To Thrive Without Consequences? - iDiva.com,https://www.idiva.com/news-opinion/opinion/indias-booming-godmen-industry-protects-rapists-and-fraud-businessmen/18014453," href=""https://www.idiva.com/news-opinion/opinion/indias-booming-godmen-industry-protects-rapists-and-fraud-businessmen/18014453"" target=""_blank"">Has India’s Obsession With Godmen Allowed Rapists To Thrive Without Consequences?</a>&nbsp;&nbsp;<font color=""#6f6f6f"">iDiva.com</font",2020-10-25 18:41:47+00:00,iDiva.com
Florida accountant pleads guilty to embezzling more than $600000 - newsindiatimes.com,https://www.newsindiatimes.com/florida-accountant-pleads-guilty-to-embezzling-more-than-600000/," href=""https://www.newsindiatimes.com/florida-accountant-pleads-guilty-to-embezzling-more-than-600000/"" target=""_blank"">Florida accountant pleads guilty to embezzling more than $600000</a>&nbsp;&nbsp;<font color=""#6f6f6f"">newsindiatimes.com</font",2020-10-23 10:35:00+00:00,newsindiatimes.com
Former Stockton couple gets prison for abusing workers in federal human trafficking case - Sacramento Bee,https://www.sacbee.com/news/local/crime/article246657943.html," href=""https://www.sacbee.com/news/local/crime/article246657943.html"" target=""_blank"">Former Stockton couple gets prison for abusing workers in federal human trafficking case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Sacramento Bee</font",2020-10-23 13:19:00+00:00,Sacramento Bee
California man sentenced to over 15 years in prison for mistreating workers hired from India - Voiceonline.com,https://voiceonline.com/california-man-sentenced-to-over-15-years-in-prison-for-mistreating-workers-hired-from-india/," href=""https://voiceonline.com/california-man-sentenced-to-over-15-years-in-prison-for-mistreating-workers-hired-from-india/"" target=""_blank"">California man sentenced to over 15 years in prison for mistreating workers hired from India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Voiceonline.com</font",2020-10-26 19:36:34+00:00,Voiceonline.com
Former Union Bank of India official convicted in fraud case - BusinessLine,https://www.thehindubusinessline.com/money-and-banking/former-union-bank-of-india-official-convicted-in-fraud-case/article32746050.ece," href=""https://www.thehindubusinessline.com/money-and-banking/former-union-bank-of-india-official-convicted-in-fraud-case/article32746050.ece"" target=""_blank"">Former Union Bank of India official convicted in fraud case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">BusinessLine</font",2020-10-01 07:00:00+00:00,BusinessLine
Court reinstates fraud conviction for Hunter Biden business partner - POLITICO,https://www.politico.com/news/2020/10/08/hunter-biden-business-partner-fraud-428154," href=""https://www.politico.com/news/2020/10/08/hunter-biden-business-partner-fraud-428154"" target=""_blank"">Court reinstates fraud conviction for Hunter Biden business partner</a>&nbsp;&nbsp;<font color=""#6f6f6f"">POLITICO</font",2020-10-08 07:00:00+00:00,POLITICO
"Husband and wife plead guilty to citizenship fraud, other crimes - newsindiatimes.com",https://www.newsindiatimes.com/husband-and-wife-plead-guilty-to-citizenship-fraud-other-crimes/," href=""https://www.newsindiatimes.com/husband-and-wife-plead-guilty-to-citizenship-fraud-other-crimes/"" target=""_blank"">Husband and wife plead guilty to citizenship fraud, other crimes</a>&nbsp;&nbsp;<font color=""#6f6f6f"">newsindiatimes.com</font",2020-09-28 07:00:00+00:00,newsindiatimes.com
Indian-Origin Lawyer In Singapore Jailed For Company Fraud: Report - NDTV,https://www.ndtv.com/indians-abroad/indian-origin-lawyer-in-singapore-jailed-for-company-fraud-report-2302091," href=""https://www.ndtv.com/indians-abroad/indian-origin-lawyer-in-singapore-jailed-for-company-fraud-report-2302091"" target=""_blank"">Indian-Origin Lawyer In Singapore Jailed For Company Fraud: Report</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV</font",2020-09-28 07:00:00+00:00,NDTV
Coppell Man Charged With Filing Fraudulent Loan Applications in PPP Scheme - NBC 5 Dallas-Fort Worth,https://www.nbcdfw.com/news/local/coppell-man-charged-with-filing-fraudulent-loan-applications-in-ppp-scheme/2458031/," href=""https://www.nbcdfw.com/news/local/coppell-man-charged-with-filing-fraudulent-loan-applications-in-ppp-scheme/2458031/"" target=""_blank"">Coppell Man Charged With Filing Fraudulent Loan Applications in PPP Scheme</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NBC 5 Dallas-Fort Worth</font",2020-10-09 07:00:00+00:00,NBC 5 Dallas-Fort Worth
NXIVM Leader Keith Raniere Says He's 'Innocent' as He Speaks Out for First Time Since Arrest - PEOPLE,https://people.com/crime/nxivm-leader-keith-raniere-speaks-out-for-first-time-since-arrest/," href=""https://people.com/crime/nxivm-leader-keith-raniere-speaks-out-for-first-time-since-arrest/"" target=""_blank"">NXIVM Leader Keith Raniere Says He's 'Innocent' as He Speaks Out for First Time Since Arrest</a>&nbsp;&nbsp;<font color=""#6f6f6f"">PEOPLE</font",2020-10-24 04:13:00+00:00,PEOPLE
Indian pleads guilty in telemarketing scam in US - The Tribune India,https://www.tribuneindia.com/news/diaspora/indian-pleads-guilty-in-telemarketing-scam-in-us-131300," href=""https://www.tribuneindia.com/news/diaspora/indian-pleads-guilty-in-telemarketing-scam-in-us-131300"" target=""_blank"">Indian pleads guilty in telemarketing scam in US</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Tribune India</font",2020-08-25 07:00:00+00:00,The Tribune India
"India, US Coordinate to Bust Call Center Scam That Targeted Elderly – Free Press of Jacksonville - Jacksonville Free Press",http://jacksonvillefreepress.com/india-us-coordinate-to-bust-call-center-scam-that-targeted-elderly/," href=""http://jacksonvillefreepress.com/india-us-coordinate-to-bust-call-center-scam-that-targeted-elderly/"" target=""_blank"">India, US Coordinate to Bust Call Center Scam That Targeted Elderly – Free Press of Jacksonville</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Jacksonville Free Press</font",2020-10-19 20:17:14+00:00,Jacksonville Free Press
"If There’s Evidence Of TRP Manipulations, I&B Ministry Can Cancel Channel's Licence: Manish Tewari - Outlook India",https://www.outlookindia.com/website/story/india-news-if-theres-evidence-of-trp-manipulations-ib-ministry-can-cancel-channels-license-manish-tewari/361824," href=""https://www.outlookindia.com/website/story/india-news-if-theres-evidence-of-trp-manipulations-ib-ministry-can-cancel-channels-license-manish-tewari/361824"" target=""_blank"">If There’s Evidence Of TRP Manipulations, I&B Ministry Can Cancel Channel's Licence: Manish Tewari</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Outlook India</font",2020-10-09 07:00:00+00:00,Outlook India
Indian-American Pleads Guilty In USD 17-Million Bank Fraud - NDTV,https://www.ndtv.com/indians-abroad/indian-american-pleads-guilty-in-usd-17-million-bank-fraud-2296025," href=""https://www.ndtv.com/indians-abroad/indian-american-pleads-guilty-in-usd-17-million-bank-fraud-2296025"" target=""_blank"">Indian-American Pleads Guilty In USD 17-Million Bank Fraud</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV</font",2020-09-16 07:00:00+00:00,NDTV
Netflix wins India legal battle on rogue billionaires series - newsindiatimes.com,https://www.newsindiatimes.com/netflix-wins-india-legal-battle-on-rogue-billionaires-series/," href=""https://www.newsindiatimes.com/netflix-wins-india-legal-battle-on-rogue-billionaires-series/"" target=""_blank"">Netflix wins India legal battle on rogue billionaires series</a>&nbsp;&nbsp;<font color=""#6f6f6f"">newsindiatimes.com</font",2020-10-07 07:00:00+00:00,newsindiatimes.com
Trial by jury can restore public confidence in judiciary - India Legal,https://www.indialegallive.com/cover-story-articles/il-feature-news/trial-by-jury-can-restore-public-confidence-in-judiciary/," href=""https://www.indialegallive.com/cover-story-articles/il-feature-news/trial-by-jury-can-restore-public-confidence-in-judiciary/"" target=""_blank"">Trial by jury can restore public confidence in judiciary</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India Legal</font",2020-10-22 08:44:07+00:00,India Legal
Alleged conspirators in nationwide fraud scheme behind bars - Valley News,https://myvalleynews.com/alleged-conspirators-in-nationwide-fraud-scheme-behind-bars/," href=""https://myvalleynews.com/alleged-conspirators-in-nationwide-fraud-scheme-behind-bars/"" target=""_blank"">Alleged conspirators in nationwide fraud scheme behind bars</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Valley News</font",2020-10-24 02:53:28+00:00,Valley News
Indian origin man jailed for 15 years for human trafficking and forced labor - indica News,https://indicanews.com/2020/10/23/indian-origin-man-jailed-for-15-years-for-human-trafficking-and-forced-labor/," href=""https://indicanews.com/2020/10/23/indian-origin-man-jailed-for-15-years-for-human-trafficking-and-forced-labor/"" target=""_blank"">Indian origin man jailed for 15 years for human trafficking and forced labor</a>&nbsp;&nbsp;<font color=""#6f6f6f"">indica News</font",2020-10-24 04:28:36+00:00,indica News
Doctor sentenced for illegally prescribing Oxycodone and tax fraud - newsindiatimes.com,https://www.newsindiatimes.com/doctor-sentenced-for-illegally-prescribing-oxycodone-and-tax-fraud/," href=""https://www.newsindiatimes.com/doctor-sentenced-for-illegally-prescribing-oxycodone-and-tax-fraud/"" target=""_blank"">Doctor sentenced for illegally prescribing Oxycodone and tax fraud</a>&nbsp;&nbsp;<font color=""#6f6f6f"">newsindiatimes.com</font",2020-09-29 07:00:00+00:00,newsindiatimes.com
Owner of pharmacies in New York City sentenced for multi-million dollar health care fraud - newsindiatimes.com,https://www.newsindiatimes.com/51485-2/," href=""https://www.newsindiatimes.com/51485-2/"" target=""_blank"">Owner of pharmacies in New York City sentenced for multi-million dollar health care fraud</a>&nbsp;&nbsp;<font color=""#6f6f6f"">newsindiatimes.com</font",2020-10-26 12:52:00+00:00,newsindiatimes.com
"‘The Vow’: What Happened to Keith Raniere, Allison Mack and Other Key Figures - Variety",https://variety.com/2020/tv/news/the-vow-where-are-keith-raniere-allison-mack-1234808846/," href=""https://variety.com/2020/tv/news/the-vow-where-are-keith-raniere-allison-mack-1234808846/"" target=""_blank"">‘The Vow’: What Happened to Keith Raniere, Allison Mack and Other Key Figures</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Variety</font",2020-10-18 07:00:00+00:00,Variety
Indian national pleads guilty in telemarketing scam originating in India - newsindiatimes.com,https://www.newsindiatimes.com/indian-national-pleads-guilty-in-telemarketing-scam-originating-in-india/," href=""https://www.newsindiatimes.com/indian-national-pleads-guilty-in-telemarketing-scam-originating-in-india/"" target=""_blank"">Indian national pleads guilty in telemarketing scam originating in India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">newsindiatimes.com</font",2020-08-25 07:00:00+00:00,newsindiatimes.com
Amnesty International and its trajectory of trouble in India - WION,https://www.wionews.com/world/amnesty-international-and-its-trajectory-of-trouble-in-india-331227," href=""https://www.wionews.com/world/amnesty-international-and-its-trajectory-of-trouble-in-india-331227"" target=""_blank"">Amnesty International and its trajectory of trouble in India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WION</font",2020-09-29 07:00:00+00:00,WION
"Four ex-servicemen, 14 doctors booked for fraud in Amritsar - The Tribune",https://www.tribuneindia.com/news/amritsar/four-ex-servicemen-14-doctors-booked-for-fraud-in-amritsar-151084," href=""https://www.tribuneindia.com/news/amritsar/four-ex-servicemen-14-doctors-booked-for-fraud-in-amritsar-151084"" target=""_blank"">Four ex-servicemen, 14 doctors booked for fraud in Amritsar</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Tribune</font",2020-10-05 07:00:00+00:00,The Tribune
Arnab Goswami demands comprehensive CBI probe in TRP case; questions Lutyens lobby u-turn - Republic World - Republic World,https://www.republicworld.com/india-news/general-news/arnab-goswami-demands-comprehensive-cbi-probe-in-trp-case-questions-lutyens-lobby-u-turn.html," href=""https://www.republicworld.com/india-news/general-news/arnab-goswami-demands-comprehensive-cbi-probe-in-trp-case-questions-lutyens-lobby-u-turn.html"" target=""_blank"">Arnab Goswami demands comprehensive CBI probe in TRP case; questions Lutyens lobby u-turn - Republic World</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Republic World</font",2020-10-25 10:01:00+00:00,Republic World
Laws related to Financial Crimes in India - Legal Desire News Network,https://legaldesire.com/laws-related-to-financial-crimes-in-india/," href=""https://legaldesire.com/laws-related-to-financial-crimes-in-india/"" target=""_blank"">Laws related to Financial Crimes in India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Legal Desire News Network</font",2020-10-22 10:14:00+00:00,Legal Desire News Network
"'Secret' proceedings in UK delaying Vijay Mallya's extradition, Centre tells SC - DNA India",https://www.dnaindia.com/india/report-secret-proceedings-in-uk-delaying-vijay-mallyas-extradition-centre-tells-sc-2847609," href=""https://www.dnaindia.com/india/report-secret-proceedings-in-uk-delaying-vijay-mallyas-extradition-centre-tells-sc-2847609"" target=""_blank"">'Secret' proceedings in UK delaying Vijay Mallya's extradition, Centre tells SC</a>&nbsp;&nbsp;<font color=""#6f6f6f"">DNA India</font",2020-10-05 07:00:00+00:00,DNA India
"Netflix’s ‘Bad Boy Billionaires’ On Nirav Modi, Mallya In Legal Soup - ED Times",https://edtimes.in/netflixs-bad-boy-billionaires-on-nirav-modi-mallya-in-legal-soup/," href=""https://edtimes.in/netflixs-bad-boy-billionaires-on-nirav-modi-mallya-in-legal-soup/"" target=""_blank"">Netflix’s ‘Bad Boy Billionaires’ On Nirav Modi, Mallya In Legal Soup</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ED Times</font",2020-10-03 07:00:00+00:00,ED Times
Tanzania: Five years under 'Bulldozer' Magufuli - Times of India,https://timesofindia.indiatimes.com/world/rest-of-world/tanzania-five-years-under-bulldozer-magufuli/articleshow/78865681.cms," href=""https://timesofindia.indiatimes.com/world/rest-of-world/tanzania-five-years-under-bulldozer-magufuli/articleshow/78865681.cms"" target=""_blank"">Tanzania: Five years under 'Bulldozer' Magufuli</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times of India</font",2020-10-26 03:43:00+00:00,Times of India
"NXIVM sex cult leader Keith Raniere speaks out for the first time since his arrest: 'Yes, I am innocent' - Home - WSFX",https://foxwilmington.com/entertainment/nxivm-sex-cult-leader-keith-raniere-speaks-out-for-the-first-time-since-his-arrest-yes-i-am-innocent/," href=""https://foxwilmington.com/entertainment/nxivm-sex-cult-leader-keith-raniere-speaks-out-for-the-first-time-since-his-arrest-yes-i-am-innocent/"" target=""_blank"">NXIVM sex cult leader Keith Raniere speaks out for the first time since his arrest: 'Yes, I am innocent'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Home - WSFX</font",2020-10-26 14:42:00+00:00,Home - WSFX
"Republic vs the Rest — Aaj Tak calls out ‘TRP chor’, NDTV on madaari, ABP says people betrayed - ThePrint",https://theprint.in/plugged-in/primetime/republic-vs-the-rest-aaj-tak-calls-out-trp-chor-ndtv-on-madaari-abp-says-people-betrayed/520087/," href=""https://theprint.in/plugged-in/primetime/republic-vs-the-rest-aaj-tak-calls-out-trp-chor-ndtv-on-madaari-abp-says-people-betrayed/520087/"" target=""_blank"">Republic vs the Rest — Aaj Tak calls out ‘TRP chor’, NDTV on madaari, ABP says people betrayed</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ThePrint</font",2020-10-09 07:00:00+00:00,ThePrint
Indian man pleads guilty in telemarketing scam in US - Financial Express,https://www.financialexpress.com/india-news/indian-man-pleads-guilty-in-telemarketing-scam-in-us/2084961/," href=""https://www.financialexpress.com/india-news/indian-man-pleads-guilty-in-telemarketing-scam-in-us/2084961/"" target=""_blank"">Indian man pleads guilty in telemarketing scam in US</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Financial Express</font",2020-09-16 07:00:00+00:00,Financial Express
Catherine Oxenberg’s daughter India describes being branded by NXIVM sex cult: ‘There was no choice to say no’ - Fox News,https://www.foxnews.com/entertainment/catherine-oxenberg-india-documentary-nxivm-keith-raniere," href=""https://www.foxnews.com/entertainment/catherine-oxenberg-india-documentary-nxivm-keith-raniere"" target=""_blank"">Catherine Oxenberg’s daughter India describes being branded by NXIVM sex cult: ‘There was no choice to say no’</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Fox News</font",2020-10-13 07:00:00+00:00,Fox News
"Virginia doctor tricked patients into surgeries, prosecutor says - newsindiatimes.com",https://www.newsindiatimes.com/virginia-doctor-tricked-patients-into-surgeries-prosecutor-says/," href=""https://www.newsindiatimes.com/virginia-doctor-tricked-patients-into-surgeries-prosecutor-says/"" target=""_blank"">Virginia doctor tricked patients into surgeries, prosecutor says</a>&nbsp;&nbsp;<font color=""#6f6f6f"">newsindiatimes.com</font",2020-10-14 07:00:00+00:00,newsindiatimes.com
Netflix wins legal battle to screen 'Bad Boy Billionaires' series - The Australian Financial Review,https://www.afr.com/world/asia/netflix-wins-legal-battle-to-screen-bad-boy-billionaires-series-20201009-p563gu," href=""https://www.afr.com/world/asia/netflix-wins-legal-battle-to-screen-bad-boy-billionaires-series-20201009-p563gu"" target=""_blank"">Netflix wins legal battle to screen 'Bad Boy Billionaires' series</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Australian Financial Review</font",2020-10-09 07:00:00+00:00,The Australian Financial Review
Indian-American sentenced for IRS fraud after pleading guilty - newsindiatimes.com,https://www.newsindiatimes.com/indian-american-sentenced-for-irs-fraud-after-pleading-guilty/," href=""https://www.newsindiatimes.com/indian-american-sentenced-for-irs-fraud-after-pleading-guilty/"" target=""_blank"">Indian-American sentenced for IRS fraud after pleading guilty</a>&nbsp;&nbsp;<font color=""#6f6f6f"">newsindiatimes.com</font",2020-09-16 07:00:00+00:00,newsindiatimes.com
"'Secret' legal issue in UK reason for Vijay Mallya's extradition delay, MHA tells Supreme Court - India TV News",https://www.indiatvnews.com/news/india/secret-legal-issue-in-uk-reason-for-vijay-mallya-extradition-mha-tells-supreme-court-654903," href=""https://www.indiatvnews.com/news/india/secret-legal-issue-in-uk-reason-for-vijay-mallya-extradition-mha-tells-supreme-court-654903"" target=""_blank"">'Secret' legal issue in UK reason for Vijay Mallya's extradition delay, MHA tells Supreme Court</a>&nbsp;&nbsp;<font color=""#6f6f6f"">India TV News</font",2020-10-06 07:00:00+00:00,India TV News
'Bottle of Lies' author Katherine Eban on investigating Big Pharma - ICIJ.org,https://www.icij.org/inside-icij/2020/10/bottle-of-lies-author-katherine-eban-on-investigating-big-pharma/," href=""https://www.icij.org/inside-icij/2020/10/bottle-of-lies-author-katherine-eban-on-investigating-big-pharma/"" target=""_blank"">'Bottle of Lies' author Katherine Eban on investigating Big Pharma</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ICIJ.org</font",2020-10-05 07:00:00+00:00,ICIJ.org
Indian-origin man pleads guilty in financial fraud case - Livemint,https://www.livemint.com/news/world/indian-origin-man-pleads-guilty-in-financial-fraud-case-11598331039124.html," href=""https://www.livemint.com/news/world/indian-origin-man-pleads-guilty-in-financial-fraud-case-11598331039124.html"" target=""_blank"">Indian-origin man pleads guilty in financial fraud case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Livemint</font",2020-08-25 07:00:00+00:00,Livemint
Indian man pleads guilty to telemarketing fraud on US seniors - newsindiatimes.com,https://www.newsindiatimes.com/indian-man-pleads-guilty-to-telemarketing-fraud-on-u-s-seniors/," href=""https://www.newsindiatimes.com/indian-man-pleads-guilty-to-telemarketing-fraud-on-u-s-seniors/"" target=""_blank"">Indian man pleads guilty to telemarketing fraud on US seniors</a>&nbsp;&nbsp;<font color=""#6f6f6f"">newsindiatimes.com</font",2020-09-16 07:00:00+00:00,newsindiatimes.com
Saudi Arabia: Pair convicted of business licensing fraud named and shamed - Gulf News,https://gulfnews.com/world/gulf/saudi/saudi-arabia-pair-convicted-of-business-licensing-fraud-named-and-shamed-1.74323721," href=""https://gulfnews.com/world/gulf/saudi/saudi-arabia-pair-convicted-of-business-licensing-fraud-named-and-shamed-1.74323721"" target=""_blank"">Saudi Arabia: Pair convicted of business licensing fraud named and shamed</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Gulf News</font",2020-10-04 07:00:00+00:00,Gulf News
Heiress of Canadian drinks empire sentenced to prison in branded sex slave case - The New Indian Express,https://www.newindianexpress.com/world/2020/oct/01/heiress-ofcanadian-drinks-empire-sentenced-to-prison-in-branded-sex-slave-case-2204327.html," href=""https://www.newindianexpress.com/world/2020/oct/01/heiress-ofcanadian-drinks-empire-sentenced-to-prison-in-branded-sex-slave-case-2204327.html"" target=""_blank"">Heiress of Canadian drinks empire sentenced to prison in branded sex slave case</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New Indian Express</font",2020-10-01 07:00:00+00:00,The New Indian Express
Indian national pleads guilty to role in Microsoft tech support scam - The Daily Swig,https://portswigger.net/daily-swig/indian-national-pleads-guilty-to-role-in-microsoft-tech-support-scam," href=""https://portswigger.net/daily-swig/indian-national-pleads-guilty-to-role-in-microsoft-tech-support-scam"" target=""_blank"">Indian national pleads guilty to role in Microsoft tech support scam</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Daily Swig</font",2020-08-25 07:00:00+00:00,The Daily Swig
Orissa High Court to hear release plea of AT chit fund scam kingpin on October 6 - The New Indian Express,https://www.newindianexpress.com/cities/bhubaneswar/2020/oct/03/orissa-high-court-to-hear-release-plea-of-at-chit-fund-scam-kingpin-on-october-6-2205072.html," href=""https://www.newindianexpress.com/cities/bhubaneswar/2020/oct/03/orissa-high-court-to-hear-release-plea-of-at-chit-fund-scam-kingpin-on-october-6-2205072.html"" target=""_blank"">Orissa High Court to hear release plea of AT chit fund scam kingpin on October 6</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The New Indian Express</font",2020-10-03 07:00:00+00:00,The New Indian Express
Abuse in Sun City: How conspirators stole the last years of Katherine Torricelli’s life - Charlotte Observer,https://www.charlotteobserver.com/news/local/crime/article246170335.html," href=""https://www.charlotteobserver.com/news/local/crime/article246170335.html"" target=""_blank"">Abuse in Sun City: How conspirators stole the last years of Katherine Torricelli’s life</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Charlotte Observer</font",2020-10-05 07:00:00+00:00,Charlotte Observer
Sylvia Earle Demands Japanese Shipowner Remove Sunk Wakashio Wreck From Indian Ocean Floor - Forbes,https://www.forbes.com/sites/nishandegnarain/2020/10/07/sylvia-earle-demands-japanese-shipowner-remove-sunk-wakashio-wreck-from-indian-ocean-floor/," href=""https://www.forbes.com/sites/nishandegnarain/2020/10/07/sylvia-earle-demands-japanese-shipowner-remove-sunk-wakashio-wreck-from-indian-ocean-floor/"" target=""_blank"">Sylvia Earle Demands Japanese Shipowner Remove Sunk Wakashio Wreck From Indian Ocean Floor</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Forbes</font",2020-10-07 07:00:00+00:00,Forbes
Indian-American in Sacramento pleads guilty to Medicare fraud - newsindiatimes.com,https://www.newsindiatimes.com/indian-american-in-sacramento-pleads-guilty-to-medicare-fraud/," href=""https://www.newsindiatimes.com/indian-american-in-sacramento-pleads-guilty-to-medicare-fraud/"" target=""_blank"">Indian-American in Sacramento pleads guilty to Medicare fraud</a>&nbsp;&nbsp;<font color=""#6f6f6f"">newsindiatimes.com</font",2020-09-10 07:00:00+00:00,newsindiatimes.com
Nigerian man and Indian lover nabbed for posing as British citizens to defraud people - Legit.ng - Nigeria News,https://www.legit.ng/1372579-nigerian-man-indian-lover-nabbed-posing-british-citizens-defraud-people.html," href=""https://www.legit.ng/1372579-nigerian-man-indian-lover-nabbed-posing-british-citizens-defraud-people.html"" target=""_blank"">Nigerian man and Indian lover nabbed for posing as British citizens to defraud people</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Legit.ng - Nigeria News</font",2020-10-07 07:00:00+00:00,Legit.ng - Nigeria News
Throwback: When Dalal Street scamster Harshad Mehta claimed he paid Rs 1 cr to PM Narasimha Rao - Times Now,https://www.timesnownews.com/business-economy/industry/article/throwback-when-dalal-street-scamster-harshad-mehta-claimed-he-paid-rs-1-crore-to-pm-narasimha-rao/668423," href=""https://www.timesnownews.com/business-economy/industry/article/throwback-when-dalal-street-scamster-harshad-mehta-claimed-he-paid-rs-1-crore-to-pm-narasimha-rao/668423"" target=""_blank"">Throwback: When Dalal Street scamster Harshad Mehta claimed he paid Rs 1 cr to PM Narasimha Rao</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Now</font",2020-10-17 07:00:00+00:00,Times Now
Man pleads guilty in India-based telemarketing scheme - The Providence Journal,https://www.providencejournal.com/news/20200915/man-pleads-guilty-in-india-based-telemarketing-scheme," href=""https://www.providencejournal.com/news/20200915/man-pleads-guilty-in-india-based-telemarketing-scheme"" target=""_blank"">Man pleads guilty in India-based telemarketing scheme</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Providence Journal</font",2020-09-15 07:00:00+00:00,The Providence Journal
"Amarinder Singh, Sukhbir Badal Trade Charges Over Bills Against Farm Laws - NDTV",https://www.ndtv.com/india-news/amarinder-singh-sukhbir-badal-trade-charges-over-bills-against-farm-laws-2315305," href=""https://www.ndtv.com/india-news/amarinder-singh-sukhbir-badal-trade-charges-over-bills-against-farm-laws-2315305"" target=""_blank"">Amarinder Singh, Sukhbir Badal Trade Charges Over Bills Against Farm Laws</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NDTV</font",2020-10-24 19:37:11+00:00,NDTV
